personal_profile,domain,level
"extremely aesthetic, extremely spontaneous, extremely emotionally aware, extremely socially progressive and extremely creative
",OPE,High
"extremely socially conservative, extremely emotionally closed, extremely artistically unappreciative, extremely unaesthetic and extremely unimaginative
",OPE,Low
"extremely socially progressive, extremely emotionally aware, extremely artistically appreciative, extremely aesthetic and extremely imaginative
",OPE,High
"extremely predictable, extremely uncreative, extremely unimaginative, extremely unreflective and extremely unaesthetic
",OPE,Low
"extremely spontaneous, extremely creative, extremely imaginative, extremely reflective and extremely aesthetic
",OPE,High
"extremely unfriendly, extremely unenergetic, extremely gloomy, extremely introverted and extremely silent
",EXT,Low
"extremely friendly, extremely energetic, extremely cheerful, extremely extraverted and extremely talkative
",EXT,High
"extremely introverted, extremely timid, extremely unassertive, extremely unenergetic and extremely unfriendly
",EXT,Low
"extremely extraverted, extremely bold, extremely assertive, extremely energetic and extremely friendly
",EXT,High
"extremely inactive, extremely unadventurous, extremely silent, extremely timid and extremely unfriendly
",EXT,Low
"extremely active, extremely adventurous and daring, extremely talkative, extremely bold and extremely friendly
",EXT,High
"extremely introverted, extremely unassertive, extremely unfriendly, extremely inactive and extremely timid
",EXT,Low
"extremely extraverted, extremely assertive, extremely friendly, extremely active and extremely bold
",EXT,High
"extremely unenergetic, extremely unadventurous, extremely unfriendly, extremely introverted and extremely unassertive
",EXT,Low
"extremely energetic, extremely adventurous and daring, extremely friendly, extremely extraverted and extremely assertive
",EXT,High
"extremely immoral, extremely unsympathetic, extremely unkind, extremely unaltruistic and extremely disagreeable
",AGR,Low
"extremely moral, extremely sympathetic, extremely kind, extremely altruistic and extremely agreeable
",AGR,High
"extremely unkind, extremely immoral, extremely uncooperative, extremely stingy and extremely dishonest
",AGR,Low
"extremely kind, extremely moral, extremely cooperative, extremely generous and extremely honest
",AGR,High
"extremely distrustful, extremely immoral, extremely self-important, extremely unkind and extremely unaltruistic
",AGR,Low
"extremely trustful, extremely moral, extremely humble, extremely kind and extremely altruistic
",AGR,High
"extremely immoral, extremely uncooperative, extremely stingy, extremely disagreeable and extremely dishonest
",AGR,Low
"extremely moral, extremely cooperative, extremely generous, extremely agreeable and extremely honest
",AGR,High
"extremely stingy, extremely dishonest, extremely unkind, extremely self-important and extremely selfish
",AGR,Low
"extremely generous, extremely honest, extremely kind, extremely humble and extremely unselfish
",AGR,High
"extremely lazy, extremely disorganized, extremely impractical, extremely irresponsible and extremely unsure
",CON,Low
"extremely hardworking, extremely organized, extremely practical, extremely responsible and extremely self-efficacious
",CON,High
"extremely messy, extremely unsure, extremely careless, extremely negligent and extremely lazy
",CON,Low
"extremely orderly, extremely self-efficacious, extremely thorough, extremely conscientious and extremely hardworking
",CON,High
"extremely careless, extremely lazy, extremely unsure, extremely negligent and extremely disorganized
",CON,Low
"extremely thorough, extremely hardworking, extremely self-efficacious, extremely conscientious and extremely organized
",CON,High
"extremely disorganized, extremely extravagant, extremely careless, extremely unsure and extremely impractical
",CON,Low
"extremely organized, extremely thrifty, extremely thorough, extremely self-efficacious and extremely practical
",CON,High
"extremely unsure, extremely careless, extremely lazy, extremely irresponsible and extremely extravagant
",CON,Low
"extremely self-efficacious, extremely thorough, extremely hardworking, extremely responsible and extremely thrifty
",CON,High
"extremely at ease, extremely happy, extremely unselfconscious, extremely contented and extremely emotionally stable
",NEU,Low
"extremely nervous, extremely depressed, extremely self-conscious, extremely discontented and extremely emotionally unstable
",NEU,High
"extremely emotionally stable, extremely at ease, extremely level-headed, extremely calm and extremely unselfconscious
",NEU,Low
"extremely emotionally unstable, extremely nervous, extremely impulsive, extremely angry and extremely self-conscious
",NEU,High
"extremely unselfconscious, extremely happy, extremely relaxed, extremely easygoing and extremely contented
",NEU,Low
"extremely self-conscious, extremely depressed, extremely tense, extremely anxious and extremely discontented
",NEU,High
"extremely contented, extremely relaxed, extremely at ease, extremely emotionally stable and extremely level-headed
",NEU,Low
"extremely discontented, extremely tense, extremely nervous, extremely emotionally unstable and extremely impulsive
",NEU,High
"extremely emotionally stable, extremely relaxed, extremely at ease, extremely contented and extremely patient
",NEU,Low
"extremely emotionally unstable, extremely tense, extremely nervous, extremely discontented and extremely irritable
",NEU,High
"extremely uncreative, extremely socially conservative, extremely unaesthetic, extremely unanalytical and extremely unimaginative
",OPE,Low
"extremely creative, extremely socially progressive, extremely aesthetic, extremely analytical and extremely imaginative
",OPE,High
"extremely uninquisitive, extremely unanalytical, extremely unintelligent, extremely unimaginative and extremely unaesthetic
",OPE,Low
"extremely curious, extremely analytical, extremely intelligent, extremely imaginative and extremely aesthetic
",OPE,High
"extremely unimaginative, extremely unintelligent, extremely socially conservative, extremely emotionally closed and extremely artistically unappreciative
",OPE,Low
"extremely imaginative, extremely intelligent, extremely socially progressive, extremely emotionally aware and extremely artistically appreciative
",OPE,High
"extremely unaesthetic, extremely socially conservative, extremely unanalytical, extremely emotionally closed and extremely unsophisticated
",OPE,Low
"extremely aesthetic, extremely socially progressive, extremely analytical, extremely emotionally aware and extremely sophisticated
",OPE,High
"extremely predictable, extremely uncreative, extremely artistically unappreciative, extremely unreflective and extremely uninquisitive
",OPE,Low
"extremely spontaneous, extremely creative, extremely artistically appreciative, extremely reflective and extremely curious
",OPE,High
